Project Name,Package Name,Type Name,Design Smell,Explaination,
group15,ca.dal.comparify.statistics,StatisticsService,Unutilized Abstraction,"Controller, Service, Model (pojo) and Util classes. Not meant to be abstracted and hence extended.",
group15,ca.dal.comparify.statistics,StatisticsController,Unutilized Abstraction,"Controller, Service, Model (pojo) and Util classes. Not meant to be abstracted and hence extended.",
group15,ca.dal.comparify.Appreciation,AppreciationService,Unutilized Abstraction,"Controller, Service, Model (pojo) and Util classes. Not meant to be abstracted and hence extended.",
group15,ca.dal.comparify.Appreciation,AppreciationService,Deficient Encapsulation,All fields are already private,
group15,ca.dal.comparify.Appreciation,AppreciationRepository,Unutilized Abstraction,"Controller, Service, Model (pojo) and Util classes. Not meant to be abstracted and hence extended.",
group15,ca.dal.comparify.securityQuestion,QuestionController,Unutilized Abstraction,"Controller, Service, Model (pojo) and Util classes. Not meant to be abstracted and hence extended.",
group15,ca.dal.comparify.framework.app,ApplicationScope,Unutilized Abstraction,"Controller, Service, Model (pojo) and Util classes. Not meant to be abstracted and hence extended.",
group15,ca.dal.comparify.framework.notification.mail,MailService,Unutilized Abstraction,"Controller, Service, Model (pojo) and Util classes. Not meant to be abstracted and hence extended.",
group15,ca.dal.comparify.framework.notification.model,WebSocketNotificationModel,Unutilized Abstraction,"Controller, Service, Model (pojo) and Util classes. Not meant to be abstracted and hence extended.",
group15,ca.dal.comparify.framework.notification.model,MailNotificationModel,Unutilized Abstraction,"Controller, Service, Model (pojo) and Util classes. Not meant to be abstracted and hence extended.",
group15,ca.dal.comparify.framework.notification.model,WebPushNotificationModel,Unutilized Abstraction,"Controller, Service, Model (pojo) and Util classes. Not meant to be abstracted and hence extended.",
group15,ca.dal.comparify.framework.notification.model,AbstractChannelNotificationModel,Unutilized Abstraction,"Controller, Service, Model (pojo) and Util classes. Not meant to be abstracted and hence extended.",
group15,ca.dal.comparify.framework.exception,ApplicationRuntimeException,Unutilized Abstraction,"Controller, Service, Model (pojo) and Util classes. Not meant to be abstracted and hence extended.",
group15,ca.dal.comparify.framework.exception,MissingRequiredFieldException,Unutilized Abstraction,"Controller, Service, Model (pojo) and Util classes. Not meant to be abstracted and hence extended.",
group15,ca.dal.comparify.framework.exception,InvalidFormatException,Unutilized Abstraction,"Controller, Service, Model (pojo) and Util classes. Not meant to be abstracted and hence extended.",
group15,ca.dal.comparify.framework.exception,AllEmptyFieldException,Unutilized Abstraction,"Controller, Service, Model (pojo) and Util classes. Not meant to be abstracted and hence extended.",
group15,ca.dal.comparify.notification,NotificationControllerTest,Unutilized Abstraction,"Controller, Service, Model (pojo) and Util classes. Not meant to be abstracted and hence extended.",
group15,ca.dal.comparify.notification,NotificationRepository,Unutilized Abstraction,"Controller, Service, Model (pojo) and Util classes. Not meant to be abstracted and hence extended.",
group15,ca.dal.comparify.notification,NotificationController,Unutilized Abstraction,"Controller, Service, Model (pojo) and Util classes. Not meant to be abstracted and hence extended.",
group15,ca.dal.comparify.notification,NotificationService,Unutilized Abstraction,"Controller, Service, Model (pojo) and Util classes. Not meant to be abstracted and hence extended.",
group15,ca.dal.comparify.notification.model,NotificationReceiverModel,Unutilized Abstraction,"Controller, Service, Model (pojo) and Util classes. Not meant to be abstracted and hence extended.",
group15,ca.dal.comparify.brand,BrandController,Unutilized Abstraction,"Controller, Service, Model (pojo) and Util classes. Not meant to be abstracted and hence extended.",
group15,ca.dal.comparify.brand,BrandRepository,Unutilized Abstraction,"Controller, Service, Model (pojo) and Util classes. Not meant to be abstracted and hence extended.",
group15,ca.dal.comparify.brand,BrandService,Unutilized Abstraction,"Controller, Service, Model (pojo) and Util classes. Not meant to be abstracted and hence extended.",
group15,ca.dal.comparify.brand.model,BrandRequestModel,Unutilized Abstraction,"Controller, Service, Model (pojo) and Util classes. Not meant to be abstracted and hence extended.",
group15,ca.dal.comparify.utils,StringUtilsTest,Unutilized Abstraction,"Controller, Service, Model (pojo) and Util classes. Not meant to be abstracted and hence extended.",
group15,ca.dal.comparify.utils,ObjectUtilsTest,Unutilized Abstraction,"Controller, Service, Model (pojo) and Util classes. Not meant to be abstracted and hence extended.",
group15,ca.dal.comparify.utils,ResponseEntityUtils,Deficient Encapsulation,Fields are kept public on purpose to access outside the class,
group15,ca.dal.comparify.user,UserControllerTest,Unutilized Abstraction,"Controller, Service, Model (pojo) and Util classes. Not meant to be abstracted and hence extended.",
group15,ca.dal.comparify.user,ContextConfiguration,Unnecessary Abstraction,This is a test class, that indicates that the abstraction might not be required. Following fields are declared in this class: 
group15,ca.dal.comparify.user,ContextConfiguration,Unutilized Abstraction,"Controller, Service, Model (pojo) and Util classes. Not meant to be abstracted and hence extended.",
group15,ca.dal.comparify.user,UserController,Unutilized Abstraction,"Controller, Service, Model (pojo) and Util classes. Not meant to be abstracted and hence extended.",
group15,ca.dal.comparify.user.model,SignupRequest,Insufficient Modularization,The class looks bloated because it contains the fields that are related to user. The project needs to save user related info in one single class,
group15,ca.dal.comparify.user.model.iam,UserDetailsRequestModel,Unutilized Abstraction,"Controller, Service, Model (pojo) and Util classes. Not meant to be abstracted and hence extended.",
group15,ca.dal.comparify.user.model.iam,UserIAMRequestModel,Unutilized Abstraction,"Controller, Service, Model (pojo) and Util classes. Not meant to be abstracted and hence extended.",
group15,ca.dal.comparify.user.model.iam,UserDetailsModel,Deficient Encapsulation,Fields are kept public on purpose to access outside the class,
group15,ca.dal.comparify.user.model.iam,UserIAMModel,Deficient Encapsulation,Fields are kept public on purpose to access outside the class,
group15,ca.dal.comparify.user.model.iam.authorization,UserAuthorizationModel,Deficient Encapsulation,Fields are kept public on purpose to access outside the class,
group15,ca.dal.comparify.user.model.iam.authorization,UserRoleModel,Unutilized Abstraction,"Controller, Service, Model (pojo) and Util classes. Not meant to be abstracted and hence extended.",
group15,ca.dal.comparify.user.model.iam.authentication,UserAuthenticationModel,Unutilized Abstraction,"Controller, Service, Model (pojo) and Util classes. Not meant to be abstracted and hence extended.",
group15,ca.dal.comparify.user.service.iam,UserIAMService,Unutilized Abstraction,"Controller, Service, Model (pojo) and Util classes. Not meant to be abstracted and hence extended.",
group15,ca.dal.comparify.alerts,AlertControllerTest,Unutilized Abstraction,"Controller, Service, Model (pojo) and Util classes. Not meant to be abstracted and hence extended.",
group15,ca.dal.comparify.alerts,AlertService,Unutilized Abstraction,"Controller, Service, Model (pojo) and Util classes. Not meant to be abstracted and hence extended.",
group15,ca.dal.comparify.alerts,AlertRepository,Unutilized Abstraction,"Controller, Service, Model (pojo) and Util classes. Not meant to be abstracted and hence extended.",
group15,ca.dal.comparify.alerts,AlertController,Unutilized Abstraction,"Controller, Service, Model (pojo) and Util classes. Not meant to be abstracted and hence extended.",
